        MR         R2
 5.367E+02  8.871E-01
 9.577E+02  8.948E-02
 1.638E+03  2.149E-01
 5.379E+02  4.923E-01
 3.810E+02  7.951E-01
 8.459E+02  2.715E-01
 9.108E+02  1.257E-01
 1.342E+03  1.411E-01
 4.092E+02  7.432E-02
 1.895E+03  1.361E-02
 4.842E+02  7.383E-01
 6.345E+02  2.760E-01
 1.301E+03  4.394E-02
 1.095E+03  6.412E-01
 6.837E+02  1.634E-01
 8.125E+02  4.405E-01
 7.913E+02  1.893E-01
 1.446E+03  1.925E-01
 1.945E+03  1.704E-01
 4.742E+02  3.485E-01
 8.968E+02  4.413E-01
 1.073E+03  2.860E-01
 1.285E+03  5.660E-01
 1.026E+03  1.267E-01
 5.650E+02  7.732E-02
 1.762E+03  1.640E-01
 1.719E+03  6.839E-02
 7.755E+02  2.261E-01
 1.023E+03  2.520E-01
 8.374E+02  2.397E-01
 1.693E+03  1.795E-01
 3.563E+02  5.376E-01
 6.756E+02  9.201E-01
 7.959E+02  3.790E-01
 9.312E+02  5.556E-02
 1.699E+03  5.512E-02
 6.490E+02  5.302E-01
 8.428E+02  4.503E-02
 9.822E+02  1.022E-01
 1.293E+03  2.717E-01
 7.780E+02  1.055E-01
 1.393E+03  1.010E-01
 1.514E+03  4.151E-02
 6.865E+02  4.163E-01
 1.201E+03  3.268E-01
 7.536E+02  2.134E-01
 1.174E+03  4.088E-01
 1.903E+03  3.600E-02
 1.582E+03  1.326E-02
 8.633E+02  7.386E-01
 5.893E+02  5.396E-01
 1.259E+03  2.851E-01
 1.478E+03  7.497E-02
 1.012E+03  2.428E-01
 1.500E+03  1.707E-01
 6.584E+02  1.475E-01
 3.682E+02  3.866E-01
 8.606E+02  2.868E-01
 1.528E+03  1.969E-02
 1.076E+03  1.655E-01
 1.359E+03  7.034E-01
 1.040E+03  2.200E-01
 7.236E+02  6.893E-01
 3.871E+02  5.958E-01
 6.361E+02  4.664E-01
 1.213E+03  1.483E-01
 8.824E+02  6.878E-01
 7.185E+02  4.788E-01
 1.078E+03  3.773E-01
 1.032E+03  5.377E-01
 1.291E+03  2.999E-01
 5.856E+02  3.632E-01
 1.175E+03  7.135E-01
 6.397E+02  4.227E-01
 4.318E+02  4.977E-01
 7.452E+02  8.093E-02
 1.509E+03  4.085E-01
 7.024E+02  8.125E-01
 7.178E+02  2.232E-01
 9.892E+02  2.045E-01
 1.033E+03  8.795E-02
 1.052E+03  2.351E-01
 9.814E+02  6.885E-01
 1.230E+03  5.350E-02
 9.654E+02  1.887E-01
 3.188E+02  8.111E-01
 6.966E+02  1.021E+00
 9.178E+02  3.459E-01
 1.026E+03  2.675E-01
 1.207E+03  4.565E-02
 4.862E+02  8.789E-01
 1.437E+03  3.148E-01
 1.269E+03  1.924E-01
 6.487E+02  4.559E-01
 1.214E+03  9.059E-02
 6.888E+02  2.880E-01
 5.288E+02  3.560E-01
 1.066E+03  1.343E-01
 1.337E+03  4.559E-02
 7.946E+02  5.586E-01
 6.707E+02  7.252E-02
 8.387E+02  1.105E-01
 1.021E+03  9.277E-02
 1.317E+03  3.279E-01
 1.310E+03  1.089E-01
 1.321E+03  3.802E-01
 1.261E+03  7.769E-02
 1.002E+03  1.314E-01
 8.999E+02  3.672E-01
 1.542E+03  6.814E-02
 1.132E+03  1.545E-01
 6.457E+02  7.229E-01
 1.122E+03  4.374E-01
 1.528E+03  1.516E-01
